OID_,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,Shape_Length,Subway_Group,Subway Group
425,B-D,Document/Folder,0,-1,0.0,0,0,,,0.00393340027579,,"B, D, F, M"
426,F,Document/Folder,0,-1,0.0,0,0,,,0.002139528593417,,"B, D, F, M"
427,2-3,Document/Folder,0,-1,0.0,0,0,,,0.005204012534861,,"1, 2, 3"
428,A-C,Document/Folder,0,-1,0.0,0,0,,,0.002337711493876,,"A, C, E"
429,G,Document/Folder,0,-1,0.0,0,0,,,0.001764908238204,,G
430,F,Document/Folder,0,-1,0.0,0,0,,,0.01154081531562,,"B, D, F, M"
431,F,Document/Folder,0,-1,0.0,0,0,,,0.005067868597842,,"B, D, F, M"
432,B-D,Document/Folder,0,-1,0.0,0,0,,,0.002533035572589,,"B, D, F, M"
433,F,Document/Folder,0,-1,0.0,0,0,,,0.00171955949912,,"B, D, F, M"
434,F,Document/Folder,0,-1,0.0,0,0,,,0.007431101328103,,"B, D, F, M"
435,F,Document/Folder,0,-1,0.0,0,0,,,0.004169897782393,,"B, D, F, M"
436,B,Document/Folder,0,-1,0.0,0,0,,,0.005947237274187,,"B, D, F, M"
437,B,Document/Folder,0,-1,0.0,0,0,,,0.006411692728594,,"B, D, F, M"
438,B,Document/Folder,0,-1,0.0,0,0,,,0.00499176233051,,"B, D, F, M"
439,2-3,Document/Folder,0,-1,0.0,0,0,,,0.006907352655535,,"1, 2, 3"
440,2-3,Document/Folder,0,-1,0.0,0,0,,,0.004365264145501,,"1, 2, 3"
441,D,Document/Folder,0,-1,0.0,0,0,,,0.007668931679175,,"B, D, F, M"
442,B,Document/Folder,0,-1,0.0,0,0,,,0.009420445036808,,"B, D, F, M"
443,A-C,Document/Folder,0,-1,0.0,0,0,,,0.008616513838571,,"A, C, E"
444,D,Document/Folder,0,-1,0.0,0,0,,,0.008300840121495,,"B, D, F, M"
445,F,Document/Folder,0,-1,0.0,0,0,,,0.002624950090916,,"B, D, F, M"
446,2-3,Document/Folder,0,-1,0.0,0,0,,,0.004805748510353,,"1, 2, 3"
447,A-C,Document/Folder,0,-1,0.0,0,0,,,0.003032656495957,,"A, C, E"
448,4-5,Document/Folder,0,-1,0.0,0,0,,,0.006230430121426,,"4, 5, 6"
449,A-C-E,Document/Folder,0,-1,0.0,0,0,,,0.005702243556467,,"A, C, E"
450,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.007567305394676,,"J, Z"
451,4-5-6,Document/Folder,0,-1,0.0,0,0,,,0.004422137595985,,"4, 5, 6"
452,N-Q,Document/Folder,0,-1,0.0,0,0,,,0.002149583408729,,"N, Q, R, W"
453,A-C-E,Document/Folder,0,-1,0.0,0,0,,,0.003335617163776,,"A, C, E"
454,1-2-3,Document/Folder,0,-1,0.0,0,0,,,0.0039697235823,,"1, 2, 3"
455,B-D-F-M,Document/Folder,0,-1,0.0,0,0,,,0.005753350675949,,"B, D, F, M"
456,L,Document/Folder,0,-1,0.0,0,0,,,0.006285747617908,,L
457,B-D-F-M,Document/Folder,0,-1,0.0,0,0,,,0.005601224963169,,"B, D, F, M"
458,1-2-3,Document/Folder,0,-1,0.0,0,0,,,0.005174080017018,,"1, 2, 3"
459,A-C-E,Document/Folder,0,-1,0.0,0,0,,,0.001219725137796,,"A, C, E"
460,L,Document/Folder,0,-1,0.0,0,0,,,0.006569418856479,,L
461,1-2-3,Document/Folder,0,-1,0.0,0,0,,,0.003911498276637,,"1, 2, 3"
462,S,Document/Folder,0,-1,0.0,0,0,,,0.006127685645719,,S
463,S,Document/Folder,0,-1,0.0,0,0,,,0.009183305832236,,S
464,G,Document/Folder,0,-1,0.0,0,0,,,0.006591267473272,,G
465,F,Document/Folder,0,-1,0.0,0,0,,,0.003751777387939,,"B, D, F, M"
466,R,Document/Folder,0,-1,0.0,0,0,,,0.007140720304452,,"N, Q, R, W"
467,F,Document/Folder,0,-1,0.0,0,0,,,0.009478309843421,,"B, D, F, M"
468,7,Document/Folder,0,-1,0.0,0,0,,,0.004755084965729,,7
469,G,Document/Folder,0,-1,0.0,0,0,,,0.015802342854355,,G
470,A,Document/Folder,0,-1,0.0,0,0,,,0.007312294656766,,"A, C, E"
471,S,Document/Folder,0,-1,0.0,0,0,,,0.016584322222276,,S
472,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.008839459318428,,"J, Z"
473,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.007215959180515,,"J, Z"
474,3,Document/Folder,0,-1,0.0,0,0,,,0.006570398927734,,"1, 2, 3"
475,L,Document/Folder,0,-1,0.0,0,0,,,0.004577312949524,,L
476,3,Document/Folder,0,-1,0.0,0,0,,,0.007602834909372,,"1, 2, 3"
477,3,Document/Folder,0,-1,0.0,0,0,,,0.007461927514948,,"1, 2, 3"
478,3,Document/Folder,0,-1,0.0,0,0,,,0.007634601409916,,"1, 2, 3"
479,L,Document/Folder,0,-1,0.0,0,0,,,0.005471375391812,,L
480,L,Document/Folder,0,-1,0.0,0,0,,,0.008701410277586,,L
481,A-C,Document/Folder,0,-1,0.0,0,0,,,0.006635800098391,,"A, C, E"
482,L,Document/Folder,0,-1,0.0,0,0,,,0.004511269572346,,L
483,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.006845230805126,,"J, Z"
484,A-C,Document/Folder,0,-1,0.0,0,0,,,0.00885312974719,,"A, C, E"
485,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.007023967952255,,"J, Z"
486,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.006575951065981,,"J, Z"
487,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.006577770384477,,"J, Z"
488,A,Document/Folder,0,-1,0.0,0,0,,,0.007465867809,,"A, C, E"
489,A,Document/Folder,0,-1,0.0,0,0,,,0.013395218096732,,"A, C, E"
490,A,Document/Folder,0,-1,0.0,0,0,,,0.008319787863395,,"A, C, E"
491,A,Document/Folder,0,-1,0.0,0,0,,,0.012555578769248,,"A, C, E"
492,A,Document/Folder,0,-1,0.0,0,0,,,0.008373118629476,,"A, C, E"
493,F,Document/Folder,0,-1,0.0,0,0,,,0.010089412934243,,"B, D, F, M"
494,A,Document/Folder,0,-1,0.0,0,0,,,0.006638606620217,,"A, C, E"
495,7,Document/Folder,0,-1,0.0,0,0,,,0.00761727302021,,7
496,G,Document/Folder,0,-1,0.0,0,0,,,0.006328955663611,,G
497,A,Document/Folder,0,-1,0.0,0,0,,,0.003898544117503,,"A, C, E"
498,S,Document/Folder,0,-1,0.0,0,0,,,0.007167891267502,,S
499,E,Document/Folder,0,-1,0.0,0,0,,,0.008585659816711,,"A, C, E"
500,R,Document/Folder,0,-1,0.0,0,0,,,0.006293350249635,,"N, Q, R, W"
501,E,Document/Folder,0,-1,0.0,0,0,,,0.005918324169298,,"A, C, E"
502,E,Document/Folder,0,-1,0.0,0,0,,,0.008105465602048,,"A, C, E"
503,D,Document/Folder,0,-1,0.0,0,0,,,0.010894023533109,,"B, D, F, M"
504,4-5,Document/Folder,0,-1,0.0,0,0,,,0.002143080024208,,"4, 5, 6"
505,N-Q-R,Document/Folder,0,-1,0.0,0,0,,,0.00119974193485,,"N, Q, R, W"
506,B-D,Document/Folder,0,-1,0.0,0,0,,,0.001228503844711,,"B, D, F, M"
507,E,Document/Folder,0,-1,0.0,0,0,,,0.009834099516189,,"A, C, E"
508,A-C-E,Document/Folder,0,-1,0.0,0,0,,,0.007895546320568,,"A, C, E"
509,4-5,Document/Folder,0,-1,0.0,0,0,,,0.005486677721269,,"4, 5, 6"
510,2-3,Document/Folder,0,-1,0.0,0,0,,,0.005767501812278,,"1, 2, 3"
511,F,Document/Folder,0,-1,0.0,0,0,,,0.006983520416096,,"B, D, F, M"
512,F,Document/Folder,0,-1,0.0,0,0,,,0.00265183915243,,"B, D, F, M"
513,G,Document/Folder,0,-1,0.0,0,0,,,0.007717168316776,,G
514,G,Document/Folder,0,-1,0.0,0,0,,,0.006908624132428,,G
515,G,Document/Folder,0,-1,0.0,0,0,,,0.010472468994047,,G
516,G,Document/Folder,0,-1,0.0,0,0,,,0.009280687655856,,G
517,G,Document/Folder,0,-1,0.0,0,0,,,0.00857999362632,,G
518,F-M,Document/Folder,0,-1,0.0,0,0,,,0.010193242278731,,"B, D, F, M"
519,Q,Document/Folder,0,-1,0.0,0,0,,,0.00954279069119,,"N, Q, R, W"
520,Q,Document/Folder,0,-1,0.0,0,0,,,0.005947233766427,,"N, Q, R, W"
521,Q,Document/Folder,0,-1,0.0,0,0,,,0.00316164710081,,"N, Q, R, W"
522,Q,Document/Folder,0,-1,0.0,0,0,,,0.006461053352496,,"N, Q, R, W"
523,1,Document/Folder,0,-1,0.0,0,0,,,0.0075289076547,,"1, 2, 3"
524,Q,Document/Folder,0,-1,0.0,0,0,,,0.004989737575678,,"N, Q, R, W"
525,Q,Document/Folder,0,-1,0.0,0,0,,,0.009350890400307,,"N, Q, R, W"
526,Q,Document/Folder,0,-1,0.0,0,0,,,0.004663805448327,,"N, Q, R, W"
527,M,Document/Folder,0,-1,0.0,0,0,,,0.006262569955791,,"B, D, F, M"
528,M,Document/Folder,0,-1,0.0,0,0,,,0.001124126658471,,"B, D, F, M"
529,M,Document/Folder,0,-1,0.0,0,0,,,0.004575039744776,,"B, D, F, M"
530,M,Document/Folder,0,-1,0.0,0,0,,,0.008001989849966,,"B, D, F, M"
531,F,Document/Folder,0,-1,0.0,0,0,,,0.010333549956682,,"B, D, F, M"
532,R-W,Document/Folder,0,-1,0.0,0,0,,,0.000531154510468,,"N, Q, R, W"
533,A-C-E,Document/Folder,0,-1,0.0,0,0,,,0.006200432240877,,"A, C, E"
534,1-2-3,Document/Folder,0,-1,0.0,0,0,,,0.003761578468169,,"1, 2, 3"
535,A-C,Document/Folder,0,-1,0.0,0,0,,,0.009185084159656,,"A, C, E"
536,7,Document/Folder,0,-1,0.0,0,0,,,0.000963527892732,,7
537,A-C,Document/Folder,0,-1,0.0,0,0,,,0.004763654744844,,"A, C, E"
538,A,Document/Folder,0,-1,0.0,0,0,,,0.008355155441807,,"A, C, E"
539,A,Document/Folder,0,-1,0.0,0,0,,,0.004640542805529,,"A, C, E"
540,1,Document/Folder,0,-1,0.0,0,0,,,0.006570921700913,,"1, 2, 3"
541,A,Document/Folder,0,-1,0.0,0,0,,,0.054110750935665,,"A, C, E"
542,5,Document/Folder,0,-1,0.0,0,0,,,0.008370608720054,,"4, 5, 6"
543,5,Document/Folder,0,-1,0.0,0,0,,,0.008587504818733,,"4, 5, 6"
544,5,Document/Folder,0,-1,0.0,0,0,,,0.007056978476534,,"4, 5, 6"
545,5,Document/Folder,0,-1,0.0,0,0,,,0.00589699814684,,"4, 5, 6"
546,5,Document/Folder,0,-1,0.0,0,0,,,0.006616948229786,,"4, 5, 6"
547,5,Document/Folder,0,-1,0.0,0,0,,,0.004720743055059,,"4, 5, 6"
548,1,Document/Folder,0,-1,0.0,0,0,,,0.005988363931838,,"1, 2, 3"
549,4,Document/Folder,0,-1,0.0,0,0,,,0.006282630564196,,"4, 5, 6"
550,4,Document/Folder,0,-1,0.0,0,0,,,0.012306167595767,,"4, 5, 6"
551,4,Document/Folder,0,-1,0.0,0,0,,,0.008317094624493,,"4, 5, 6"
552,4,Document/Folder,0,-1,0.0,0,0,,,0.001242268131257,,"4, 5, 6"
553,4,Document/Folder,0,-1,0.0,0,0,,,0.005559922864249,,"4, 5, 6"
554,4,Document/Folder,0,-1,0.0,0,0,,,0.007382123012116,,"4, 5, 6"
555,4,Document/Folder,0,-1,0.0,0,0,,,0.007461944771205,,"4, 5, 6"
556,4,Document/Folder,0,-1,0.0,0,0,,,0.007634617383511,,"4, 5, 6"
557,4,Document/Folder,0,-1,0.0,0,0,,,0.005373805237252,,"4, 5, 6"
558,B-D-F-M,Document/Folder,0,-1,0.0,0,0,,,0.001674465870348,,"B, D, F, M"
559,A-C,Document/Folder,0,-1,0.0,0,0,,,0.005089307067332,,"A, C, E"
560,A-C,Document/Folder,0,-1,0.0,0,0,,,0.001802556037802,,"A, C, E"
561,Q,Document/Folder,0,-1,0.0,0,0,,,0.00910268166415,,"N, Q, R, W"
562,Q,Document/Folder,0,-1,0.0,0,0,,,0.007552644181629,,"N, Q, R, W"
563,Q,Document/Folder,0,-1,0.0,0,0,,,0.004320407724502,,"N, Q, R, W"
564,Q,Document/Folder,0,-1,0.0,0,0,,,0.00847627989043,,"N, Q, R, W"
565,Q,Document/Folder,0,-1,0.0,0,0,,,0.004126103263381,,"N, Q, R, W"
566,Q,Document/Folder,0,-1,0.0,0,0,,,0.018252425002024,,"N, Q, R, W"
567,Q,Document/Folder,0,-1,0.0,0,0,,,0.006672030460841,,"N, Q, R, W"
568,R,Document/Folder,0,-1,0.0,0,0,,,0.008081499595335,,"N, Q, R, W"
569,R,Document/Folder,0,-1,0.0,0,0,,,0.008921011722182,,"N, Q, R, W"
570,R,Document/Folder,0,-1,0.0,0,0,,,0.0192840298377,,"N, Q, R, W"
571,R,Document/Folder,0,-1,0.0,0,0,,,0.006412893148396,,"N, Q, R, W"
572,N-R,Document/Folder,0,-1,0.0,0,0,,,0.007084699844519,,"N, Q, R, W"
573,N-R,Document/Folder,0,-1,0.0,0,0,,,0.007239354141374,,"N, Q, R, W"
574,N-R,Document/Folder,0,-1,0.0,0,0,,,0.007575209064613,,"N, Q, R, W"
575,N-R,Document/Folder,0,-1,0.0,0,0,,,0.007668929358168,,"N, Q, R, W"
576,N-R,Document/Folder,0,-1,0.0,0,0,,,0.008284193705779,,"N, Q, R, W"
577,D,Document/Folder,0,-1,0.0,0,0,,,0.007159097952242,,"B, D, F, M"
578,N,Document/Folder,0,-1,0.0,0,0,,,0.01125651827391,,"N, Q, R, W"
579,D,Document/Folder,0,-1,0.0,0,0,,,0.005161874509763,,"B, D, F, M"
580,F,Document/Folder,0,-1,0.0,0,0,,,0.007223000207626,,"B, D, F, M"
581,N,Document/Folder,0,-1,0.0,0,0,,,0.006563624676979,,"N, Q, R, W"
582,B,Document/Folder,0,-1,0.0,0,0,,,0.00954352242644,,"B, D, F, M"
583,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.005220252133853,,"J, Z"
