id,name,legal_name,type,admin_street_address,admin_city,admin_state,admin_zip,phone_number,latitude,longitude,locale_code,county_code,state_code,region_code,income,revenue
8409400506,NEW YORK MUSEUM OF SKIING AND SKI HALL OF FAME,NEW YORK MUSEUM OF SKIING AND SKI HALL OF FAME,GENERAL MUSEUM,PO BOX 2,NORTH CREEK,NY,12853,,43.70061,-73.96169,4.0,113.0,36.0,2,,
8403600205,NEW YORK MUSEUM OF TRANSPORTATION,NEW YORK MUSEUM OF TRANSPORTATION AT RIVERTON,HISTORY MUSEUM,6393 E RIVER RD,WEST HENRIETTA,NY,14586,5855331113,43.04512,-77.67037,2.0,55.0,36.0,2,50601.0,47609.0
8403602279,NEW YORK MUSEUM OF TRANSPORTATION AT RIVERTON,NEW YORK MUSEUM OF TRANSPORTATION AT RIVERTON,HISTORY MUSEUM,PO BOX 136,W HENRIETTA,NY,14586,5855331113,43.04512,-77.67037,2.0,55.0,36.0,2,50601.0,47609.0
8403601727,NEW YORK PHILATELIC EXHIBITION,NEW YORK PHILATELIC EXHIBITION INC,GENERAL MUSEUM,22 E 35TH ST,NEW YORK,NY,10016,,40.74813,-73.982,1.0,61.0,36.0,2,92485.0,92485.0
8403602175,NEW YORK PRESERVATION ARCHIVE PROJECT,NEW YORK PRESERVATION ARCHIVE PROJECT INC,HISTORIC PRESERVATION,174 E 80TH ST,NEW YORK,NY,10075,,40.77502,-73.95757,1.0,61.0,36.0,2,72313.0,72313.0
8403600159,NEW YORK SPORTS MUSEUM AND HALL OF FAME,NEW YORK SPORTS MUSEUM AND HALL OF FAME,GENERAL MUSEUM,420 LEXINGTON AVE,NEW YORK,NY,10170,2122976223,40.75269,-73.97587,1.0,61.0,36.0,2,,
8403601159,NEW YORK STATE ARCHIVES,NEW YORK STATE ARCHIVES PARTNERSHIP TR,HISTORIC PRESERVATION,CULTURAL EDUCATION CENTER NO 9C49,ALBANY,NY,12230,,42.6547,-73.75776,1.0,1.0,36.0,2,1059346.0,755268.0
8409400507,NEW YORK STATE EAGLES MUSEUM,NEW YORK STATE EAGLES MUSEUM,GENERAL MUSEUM,161 CECIL MALONE DR,ITHACA,NY,14850,,42.43603,-76.5119,1.0,109.0,36.0,2,0.0,0.0
8403601496,NEW YORK STATE GRANGE MUSEUM,NEW YORK STATE GRANGE MUSEUM,GENERAL MUSEUM,1207 SOUTH WAYNEPORT ROAD,MACEDON,NY,14502,6077567930,42.6062,-76.1694,3.0,23.0,36.0,2,0.0,0.0
8403601277,NEW YORK STATE HISTORICAL ASSOCIATION,NEW YORK STATE HISTORICAL ASSOCIATION,HISTORY MUSEUM,PO BOX 800,COOPERSTOWN,NY,13326,6075471400,42.72633,-74.92567,4.0,77.0,36.0,2,11324039.0,8107903.0
8403601378,NEW YORK STATE LITERARY CENTER,THE NEW YORK STATE LITERARY CENTER INC,GENERAL MUSEUM,155 S MAIN ST,FAIRPORT,NY,14450,5852230784,43.09564,-77.44191,2.0,55.0,36.0,2,18510.0,18510.0
8403601143,NEW YORK STATE MILITARY MUSEUM AND RESEARCH CENTER,THE FRIENDS OF THE NEW YORK STATE MILITARY MUSEUM,HISTORY MUSEUM,61 LAKE AVE,SARATOGA SPGS,NY,12866,5185815100,43.0831,-73.7807,2.0,91.0,36.0,2,88615.0,81809.0
